velocity_width,halo_mass,stellar_mass,distance,inclination,surface_brightness,galaxy_type,luminosity,absolute_magnitude,apparent_magnitude,corrected_velocity,true_absolute_magnitude,mass_correction,velocity_correction,distance_bias,observed_velocity,observed_magnitude,velocity_error,photometric_error,detectable
281.86700544832684,3323149355725.9976,873688243154.2252,33.442750188866675,0.509234071172965,20.98723258753843,Spiral,356150376251.91437,-24.049083518718483,8.572426405071077,578.1784777803382,-24.23608500644735,0.19413564916375955,0.010627521826452708,-0.0034933603915621387,576.8484461410376,8.554627656901392,-1.330031639300636,0.016393079159129246,True
181.78192801006128,715850749114.0026,135585294462.14645,65.57301168459222,0.15182276730096306,21.783221993926723,Spiral,1329794299509.8208,-25.479461167273247,8.604164486301269,1201.9420013266354,-25.559996683640556,0.11322125886440873,0.030330639969522906,0.0023551025275776764,1188.7330785015738,8.604999043164499,-13.208922825061611,0.028008868249641782,True
312.8502865468897,4787105128270.248,498840925132.7448,42.64443828916476,1.068123342775474,20.811370118500058,Spiral,180960300044.02844,-23.31395826917667,9.835353722194608,357.0136083788634,-23.481970122610154,0.16979620759817796,0.0031665062859289788,-0.0013821521212352631,378.4436789247125,9.824013240778081,21.430070545849098,0.01771522684166251,True
572.715520502414,39735744018430.13,2541559702295.6367,23.423717811679424,0.20624618038980874,21.53805770554144,Spiral,4915438977765.733,-26.898905772413364,4.949373364648746,2796.6388201260665,-27.080381387946066,0.24051003159167533,0.06562069959744601,-0.006586283538471944,2791.941175482695,4.972734905504605,-4.697644643371368,0.015744995275263456,True
170.1312070460646,567726225613.7701,91961479696.81943,35.00590508160711,0.9249635410531233,19.159577999569322,Dwarf,37594090206.29956,-21.607798947923087,11.112907606405557,213.03713791884283,-21.707218509437297,0.09636059506245741,3.760741765349796e-05,-0.0030965738694058,214.62469842821827,11.105103544389625,1.5875605093754284,0.010620503917566472,True
170.13313651444778,567748761095.2196,74507812129.99817,25.966267113770808,0.9964773481697923,22.319940561059408,Spiral,114197884083.17783,-22.81414514288505,9.257902458858997,202.64499952122077,-22.907054905785394,0.08722018108298837,1.6278623852376407e-06,-0.005691209679744181,214.20506621573205,9.229699167029342,11.56006669451127,0.020156319488060646,True
595.3794496843132,45516981769786.07,8447562668605.098,30.142179179094175,1.2289314114145622,22.001808213043336,Spiral,493479555681.3255,-24.40317291258149,7.992700323204723,631.9496818213056,-24.687759330723654,0.29267314222910806,0.012482631230518916,-0.004395907143575538,625.8647427839936,7.9495206252247534,-6.084939037312019,0.020056401552561397,True
339.82898191758375,6394498143432.94,991649063591.6947,24.675991092598817,1.2271359575907228,20.774367053397714,Spiral,158737008255.23047,-23.171695477052545,8.789677546961347,360.9336123922583,-23.374178206049237,0.19963580061151465,0.0032869796054882682,-0.006133907990664813,350.854933260037,8.78926649604871,-10.078679132221302,0.013351659994305072,True
144.60645509450666,321404456869.4525,66361731548.854126,27.183121786171558,0.6690554327360636,22.988868502648607,Spiral,120775799101.01567,-22.874949799085346,9.296546855217581,233.14396138628595,-22.962213244279408,0.08219177093641009,0.0002217392118600786,-0.00529341346950865,235.68133435403428,9.282848564662277,2.5373729677483317,0.024377213851841346,True
290.93636522994404,3712684507322.6855,256517785659.13657,34.071232055953644,0.9013520591533514,23.406355206439837,Spiral,174237471224.607,-23.272853898436722,9.389085293827009,371.01344007030633,-23.413496444985768,0.1409117482297093,0.0036008449983260258,-0.003331643317665456,353.0826760911824,9.345798083304185,-17.930763979123896,0.03029398206539291,True
